,number,word,strength,scholor,vector
65,/o:,-1.4,0.66332,"[0, -2, -1, -1, -2, -2, -1, -2, -1, -2]",
66,0-8,0.1,1.44568,"[2, -1, -2, 0, 2, 0, 2, 0, -2, 0]",
67,0-|,-1.2,0.4,"[-2, -1, -1, -1, -1, -1, -1, -1, -2, -1]",
68,0:),1.9,1.04403,"[2, 2, 2, 1, 0, 2, 4, 1, 3, 2]",
69,0:-),1.4,0.91652,"[2, 1, 0, 1, 2, 3, 2, 1, 2, 0]",
70,0:-3,1.5,0.92195,"[2, 1, 0, 2, 2, 3, 2, 1, 2, 0]",
71,0:03,1.9,1.22066,"[2, 3, 2, 0, 0, 1, 4, 2, 3, 2]",
72,0;^),1.6,0.91652,"[0, 1, 3, 1, 2, 1, 2, 1, 2, 3]",
73,0_o,-0.3,0.78102,"[0, -2, 0, 1, 0, 0, -1, 0, -1, 0]",
74,10q,2.1,1.22066,"[1, 3, 1, 2, 1, 4, 3, 4, 1, 1]",
75,1337,2.1,1.13578,"[3, 1, 4, 0, 2, 3, 1, 2, 2, 3]",
76,143,3.2,0.74833,"[4, 4, 2, 3, 2, 3, 4, 3, 4, 3]",
77,1432,2.6,0.8,"[4, 3, 3, 2, 2, 4, 2, 2, 2, 2]",
78,14aa41,2.4,0.91652,"[3, 2, 2, 4, 2, 2, 1, 2, 4, 2]",
79,182,-2.9,1.3,"[-4, 0, -3, -3, -1, -3, -4, -4, -4, -3]",
80,187,-3.1,1.22066,"[-4, 0, -4, -3, -2, -4, -3, -3, -4, -4]",
81,2g2b4g,2.8,0.6,"[4, 2, 3, 2, 3, 3, 3, 3, 2, 3]",
82,2g2bt,-0.1,1.57797,"[-1, 2, -1, 1, 0, 2, 0, -3, -2, 1]",
83,2qt,2.1,0.83066,"[3, 3, 3, 3, 2, 1, 2, 1, 2, 1]",
84,3:(,-2.2,0.87178,"[-4, -3, -2, -3, -2, -1, -1, -2, -2, -2]",
85,3:),0.5,1.28452,"[-2, 1, -2, 1, 1, 1, 1, 2, 1, 1]",
86,3:-(,-2.3,0.78102,"[-2, -3, -2, -2, -2, -2, -4, -1, -3, -2]",
87,3:-),-1.4,1.35647,"[-1, -2, 1, 1, -2, -2, -3, -1, -3, -2]",
88,4col,-2.2,1.16619,"[-2, -3, -1, -3, -4, -1, -2, -1, -4, -1]",
89,4q,-3.1,1.51327,"[-3, -3, -4, -2, -4, -4, -4, 1, -4, -4]",
90,5fs,1.5,1.11803,"[1, 2, 1, 1, 2, 3, 2, 3, -1, 1]",
91,8),1.9,0.7,"[2, 2, 2, 1, 1, 2, 2, 3, 3, 1]",
92,8-d,1.7,0.64031,"[1, 2, 0, 2, 2, 2, 2, 2, 2, 2]",
93,8-o,-0.3,0.78102,"[1, -1, 0, 0, 0, -1, 0, -2, 0, 0]",
94,86,-1.6,1.0198,"[-1, -1, -1, -1, -1, -4, -1, -2, -1, -3]",
95,8d,2.9,0.53852,"[3, 3, 4, 2, 3, 3, 3, 3, 2, 3]",
96,:###..,-2.4,0.91652,"[-3, -2, -4, -3, -1, -2, -2, -3, -1, -3]",
97,:$,-0.2,1.83303,"[-2, -1, 0, 0, -1, 1, 4, -3, 1, -1]",
98,:&,-0.6,1.0198,"[-2, -1, 0, 0, -1, -1, 1, -2, 1, -1]",
99,:'(,-2.2,0.74833,"[-2, -1, -2, -2, -2, -2, -4, -3, -2, -2]",
100,:'),2.3,0.78102,"[3, 1, 3, 2, 2, 2, 2, 4, 2, 2]",
101,:'-(,-2.4,0.66332,"[-2, -1, -2, -3, -2, -3, -3, -3, -2, -3]",
102,:'-),2.7,0.64031,"[2, 1, 3, 3, 3, 3, 3, 3, 3, 3]",
103,:(,-1.9,1.13578,"[-2, -3, -2, 0, -1, -1, -2, -3, -1, -4]",
104,:),2.0,1.18322,"[2, 2, 1, 1, 1, 1, 4, 3, 4, 1]",
105,:*,2.5,1.0247,"[3, 2, 1, 1, 2, 3, 4, 3, 4, 2]",
106,:-###..,-2.5,0.92195,"[-3, -2, -3, -2, -4, -3, -1, -3, -1, -3]",
107,:-&,-0.5,0.92195,"[-1, -1, 0, -1, -1, -1, -1, 0, 2, -1]",
108,:-(,-1.5,0.5,"[-2, -1, -1, -1, -2, -2, -2, -1, -2, -1]",
109,:-),1.3,0.45826,"[1, 1, 1, 1, 2, 1, 2, 1, 2, 1]",
110,:-)),2.8,1.07703,"[3, 4, 4, 1, 2, 2, 4, 2, 4, 2]",
111,:-*,1.7,0.64031,"[1, 2, 1, 1, 1, 3, 2, 2, 2, 2]",
112,":-,",1.1,0.53852,"[1, 1, 1, 0, 1, 1, 1, 1, 2, 2]",
113,:-.,-0.9,0.53852,"[-1, -1, 0, -1, 0, -1, -1, -1, -2, -1]",
114,:-/,-1.2,0.6,"[0, -1, -1, -1, -1, -2, -2, -1, -1, -2]",
115,:-<,-1.5,0.5,"[-2, -1, -1, -2, -1, -2, -2, -1, -2, -1]",
116,:-d,2.3,0.45826,"[2, 2, 3, 3, 2, 3, 2, 2, 2, 2]",
117,:-D,2.3,0.45826,"[2, 2, 3, 3, 2, 3, 2, 2, 2, 2]",
118,:-o,0.1,1.3,"[2, -1, -2, 0, 1, 1, 2, 0, -1, -1]",
119,:-p,1.2,0.4,"[1, 2, 1, 1, 1, 1, 2, 1, 1, 1]",
