,user_id,user_name,user_screen_name,user_profile_image_url,tweet_id,tweet_full_text,tweet_favorite_count,tweet_created_at
28,64954453,如月 陽菜🍆,ksrg_17,http://pbs.twimg.com/profile_images/1428941689763241990/VfGR7T4S.jpg,1428869363071819776,新しいぷろひぃーる画像。（しばらくしたら戻すかも）,9,2021-08-21 08:59:37
55,100327742,ぽん〇❄🍧( ゝн⁾⁾⁾)ｷｰﾝ⛸✨,pon_tarou,http://pbs.twimg.com/profile_images/1377468716053450752/B6WY4hvH.jpg,1428869215243554825,ジワるw,1,2021-08-21 08:59:02
38,147495020,天王寺四郎,wutaiLsat2001ts,http://pbs.twimg.com/profile_images/929433464/1221130455526.JPG,1428869302292140033,若者語「スガる」爆誕意味は「何もしないこと」 |  これほんと酷い https://t.co/q1MBlnaTy8,1,2021-08-21 08:59:23
33,150975932,きちく,Blend_Caravan,http://pbs.twimg.com/profile_images/1092188743652433920/owS7hJsY.jpg,1428869329982922760,調子悪かったメモリが再起動時にお亡くなりに 早急じゃないから通販でポチる,0,2021-08-21 08:59:30
89,161919305,DoGA,DoGA_CGanime,http://pbs.twimg.com/profile_images/1525921560/DoGA_icon.jpg,1428869071240523780,"クライアントに対して
“システム開発費をケチると、みずほのように取り返しがつかなくなりますよ？”
って、使える。",22,2021-08-21 08:58:28
53,223790203,晴むぅ-はれむぅ-,sunny_haremu,http://pbs.twimg.com/profile_images/650333406430015488/Kvluwj0k.jpg,1428869217449693184,@caRamelTp_nico めるくんおはよう,0,2021-08-21 08:59:03
18,255429323,神風黎明,dawn1528,http://pbs.twimg.com/profile_images/1427152057044115456/82XmHya6.png,1428869386811559936,あっでもふーるーって会員制か……やはり買うしかないか……DVD……。,0,2021-08-21 08:59:43
24,375546486,ねぼまな。,nebomana2000,http://pbs.twimg.com/profile_images/3568300279/baf727328369acba5ed204334fb6ea46.jpeg,1428869374304153603,"@HPlus_clover にゃぅっち、せてぃ、マルル、るぴ、糸鋸刑事、かざみん、自分。
ぐ…７人？",0,2021-08-21 08:59:40
95,548506109,るーこ,ru__ko,http://pbs.twimg.com/profile_images/448740066349678592/pyyQHcCQ.jpeg,1428869040122982402,"他人の幸せにでもいつか死ぬしって言ってていい

ZEKKEI MANZAI #2 【モテる方法】囲碁将棋 ｜ 絶景漫才 https://t.co/u2LP1ZtNuO",0,2021-08-21 08:58:20
97,600496615,ミクさん,miku_nagoya,http://pbs.twimg.com/profile_images/1421431444497342468/IOQ2TgrT.jpg,1428869027401588743,@rumokitazato るもさんおはようございます☁️,1,2021-08-21 08:58:17
57,624476905,もちのきなこ,utsuke923,http://pbs.twimg.com/profile_images/1427823614460526599/R_tcZp-b.jpg,1428869190283251721,今日の夢　4PLの和風シナリオっぽい感じで、戦闘側の人・推理側の人みたいなイメージに分かれて2人1組で行動してた　メモるけど長いからふせ https://t.co/hDvmG9nlic,1,2021-08-21 08:58:56
66,742284416,なぁた@マオギャ,lovemao_naata,http://pbs.twimg.com/profile_images/1425222327877312516/gVIMT4J8.jpg,1428869137661534211,"今日からのエヴァのくじ、近所でやってるとこないから街中に開店凸る😂
カヲルくんのお迎えできますように🙏",0,2021-08-21 08:58:44
2,859634377,｜ｗ・）かみさま,AlphaFactry,http://pbs.twimg.com/profile_images/1377829872492453891/vTTBEeov.jpg,1428869443845693451,@akirosenthal おはえんたーる🍎,2,2021-08-21 08:59:57
19,914634949,Herios Strider@Ixion,HeliosMoon30,http://pbs.twimg.com/profile_images/1216365891799015424/YijtPt2j.jpg,1428869384949227522,@Fool_Matcha ふーるさん、おはよう御座います(^^),1,2021-08-21 08:59:43
36,938939665,る う く ん Nomal,rukunblueURA,http://pbs.twimg.com/profile_images/1269988524389855236/oVboBkWe.jpg,1428869306092167170,@raizawolfex ちん　に　あまり　はんのうしない　るうくん,1,2021-08-21 08:59:24
65,1092273302,オリバー,Oliver044855,http://pbs.twimg.com/profile_images/1211439579581992961/fzFjb-Zm.jpg,1428869145064468480,"@sTTeqwLErdRvFg5 び～るさん
ありがとうございます

濃厚系です😆🎵🎵",1,2021-08-21 08:58:45
91,1229441287,花京院  綾羽,ayahaaa0203,http://pbs.twimg.com/profile_images/426985371432267776/8u_hYLoL.jpeg,1428869063917199360,るぅは一人で考えこみすぎや。もっとわしを頼れ。,0,2021-08-21 08:58:26
22,1447885507,行けっ！アジュール(810〜1919),azur_elf_DQ10,http://pbs.twimg.com/profile_images/1421225204068405253/QNk98PgS.jpg,1428869376313155584,"おはじゅーる(*ﾟ▽ﾟ)ﾉ
昨夜は こうへい会を視聴しながら日課とゼルメアを！
ゼルメアは20階で終了、転ばない靴を持ち帰りましたw

前日に旅芸人が120になってカンストは11職に(о´∀`о) https://t.co/dIzInNM8iL",44,2021-08-21 08:59:41
25,1512458210,Trёflё　( ◡)📞味,ISN_Tetramate,http://pbs.twimg.com/profile_images/1399264566064779275/gpbipa4p.jpg,1428869372446068737,成り立ちを辿っていって結局具体的なサイズをぼかしてボケるの好き,0,2021-08-21 08:59:40
23,2313284887,心葉,abyss_symphony,http://pbs.twimg.com/profile_images/1420870378205847554/3UYf7Zme.jpg,1428869375361118210,"@Ex59J1 るーちゃんおはよー！！
おかえりなさい😊",0,2021-08-21 08:59:40
86,2417203190,大屋知恵子,1967Chieko,http://pbs.twimg.com/profile_images/849084047376744449/oLQTDih_.jpg,1428869080006619143,"テンテンお誕生日おめでとうごじゃる🎂🎉🎊いつも幸せな気持ちにさせてくれてありがとう😆💕✨20才になって大人の色気とか出てドキドキさせられちゃって心臓持つか心配💖
#テンテンお誕生日おめでとうごじゃる #大山天 #テンテン https://t.co/DRbkPYrYZ8",11,2021-08-21 08:58:30
71,2807931596,ヤマ＠雷都ＣＣ (部長),yamanojaku,http://pbs.twimg.com/profile_images/871031485888831488/R3yC5kr-.jpg,1428869127767171072,"@mameharuyh あ～るちゃんと読まなきゃ…
きちんと読んだのがパトレイバーくらいで、申し訳ない(^_^;)",0,2021-08-21 08:58:41
88,2922518461,PLUS,savior_ga,http://pbs.twimg.com/profile_images/1423294286989193220/P--E72er.jpg,1428869078605701121,"8/21土曜、皆さまおはようございます😃
最高気温31度のくまもと中央CC☁️なとぅ😗
3週間ぶりのラウンドは【ごるふぃーPLUS杯IN熊本】と題して上田治氏設計のここを舞台にツイゴルです⛳️
思いっきり楽しんできまーす😤💪 https://t.co/IJeBxObsN9",115,2021-08-21 08:58:30
9,3052388586,緋月るなのりょーた@☪️💫🥀🦩🐼🐰🧠💚,sreyiosthao3580,http://pbs.twimg.com/profile_images/1426188319151378437/o3fOFeSv.jpg,1428869407955062784,"@lunaluna_plv_ るなちゃん❕(ᐡ•͈ ·̫ •͈ᐡ )。
おはよ〜(∩´∀`∩)♡

今日のライブも行けないから、今日もカレイドのMV見るね〜( ˃ ⌑ ˂ഃ )

今日のライブも楽しんでね〜ᐡ⸝⸝› ·̫ ‹⸝⸝ᐡ",0,2021-08-21 08:59:48
