,user_id,user_name,user_screen_name,user_profile_image_url,tweet_id,tweet_full_text,tweet_favorite_count,tweet_created_at
84,61830547,mstkg_seu_amigo,mstkg_seu_amigo,http://pbs.twimg.com/profile_images/1264543329351380992/-oMjdSdZ.jpg,1428507064100216832,"ナイス👍

フィロのス奥津マリリがスカート澤部渡に熱烈オファー、ソロ曲「花をください」配信リリース(音楽ナタリー)
#Yahooニュース
https://t.co/1dWldkqKOG",0,2021-08-20 08:59:59
95,72291737,ゆうじ,mickey_y07,http://pbs.twimg.com/profile_images/552479079237050368/xZ487s-N.jpeg,1428507063559213058,"2009年と2010年にリドアイルで行われたエンターテイメント「マウスカレード・ダンス」
妖しくも美しい衣装を纏ったミッキーとミニー。
美男美女の華麗なダンスにゲストが酔いしれた。
#TDS #ディズニー・ハロウィーン https://t.co/8cFGzBHyxX",39,2021-08-20 08:59:58
11,82537800,嘘八百屋,Usoyaoya,http://pbs.twimg.com/profile_images/1084073624045154304/fX9qXr2D.jpg,1428507067283771398,なぜ。Stingのアルバムアートがコレになる？ https://t.co/1QKz49LXkp,1,2021-08-20 08:59:59
8,84503328,サブウェイ,subwayjp,http://pbs.twimg.com/profile_images/1322565849069232131/LPcbCwEJ.jpg,1428507067350876166,"@taka46in 「腸活サンドフォロー＆リツイートキャンペーン」へのご応募ありがとうございます✨

抽選結果は動画の最後に発表📣
「腸活サンドチキンandチーズ無料クーポン」が当たるチャンス❗

期間中毎日応募できます‼

▼詳細
https://t.co/VmEI7Gi9jl https://t.co/IiOOSzROKs",0,2021-08-20 08:59:59
33,102356773,💚💜もこ🍇🍈,lobotom8,http://pbs.twimg.com/profile_images/1427639088568537094/g_q-H4yZ.png,1428507065866092545,最近使っとるスマホカバーがアトムなんですけど、目の前にいるおばさまがヤッターマンのトートバッグ使ってらして、ここだけめっちゃ昭和 https://t.co/pgKmaMJhRE,0,2021-08-20 08:59:59
78,102934249,yotch 日付シートお試し配信中,tyotch,http://pbs.twimg.com/profile_images/378800000085959650/3d0961cffe07a3550fb2f0d453ef368f.jpeg,1428507064276451328,最後まで話聞かないで批判している人ばっか。まぁ、日本語が結論が後に来る言語だからとも言えるけど。 #モーニングショー,0,2021-08-20 08:59:59
7,110680522,戦う館長,YAKATALLG,http://pbs.twimg.com/profile_images/1263803761387958272/jB6x0H58.jpg,1428507067363389445,自賠責支払いに行ったら印鑑押し忘れてた_(:3」z)_,0,2021-08-20 08:59:59
48,130124679,加奈SPICA,t_spica,http://pbs.twimg.com/profile_images/2956333971/d73be9ff9576d1738c55e8a6f0ae971e.png,1428507065488580613,さらに勝利投手になっててもう分からん(N回目),0,2021-08-20 08:59:59
90,142175549,まゆ_瀬戸内通信社,mayuko_mamyu2,http://pbs.twimg.com/profile_images/1053985767805005827/Ok50XHVG.jpg,1428507063798231040,"昨夜、夜中にお腹すいて名古屋人お馴染みの「小さなおうどん」を食べてしまった。でも本当に小さいので香川の人が見たら「一口やな」と怒るかもしれない…（インスタントだけど生めんで、これは結構好き）

https://t.co/uVzlbpW94Q",1,2021-08-20 08:59:59
38,191871836,アキテクト,akitect0121,http://pbs.twimg.com/profile_images/1752244179/sigunamu.jpg,1428507065744433159,昨日寝る前は高めの平熱だったけど、今は完全に平熱。まだ若干の頭痛と倦怠感もあるから休んで正解だったな。,1,2021-08-20 08:59:59
