,user_id,user_name,user_screen_name,user_profile_image_url,tweet_id,tweet_full_text,tweet_favorite_count,tweet_created_at
27,77310006,深淵は覗いちゃダメ -Kazuho Hayashi- a.k.a. みんなのおじさん,ippo01,http://pbs.twimg.com/profile_images/1428114281317294081/RY1L9I3r.jpg,1427419875765481478,"おはよう、りあちゃん
 #もちもちりあちゃん",0,2021-08-17 08:59:53
96,93794307,dBXひでたん,dBX_Hidetan,http://pbs.twimg.com/profile_images/1425242661900804100/pteMiGqy.jpg,1427419807465435137,"ㅤ 👾  三  👾  三  👾 
///　　　　　　　 \\\
 👾  ＼( ‘ᾥ’ )/　 　  👾  
\\\　　 \　 \ 　　　///
　 👾  三  👾  三  👾  
あぁ！お客様ー！お客様！あー！あっ！宇宙人！宇宙人！あ！お客様！あぁー！困ります！宇宙人！宇宙人！
#shindanmaker #あーっお客様
https://t.co/EGy6U9K2Yq",1,2021-08-17 08:59:36
99,106632510,まぐ,h_y_mug,http://pbs.twimg.com/profile_images/953480869297008641/uIsAtnCl.jpg,1427419804806180864,保険の人も来るしな…あ゛ーーーー！！,0,2021-08-17 08:59:36
5,117695747,土后,akg_y_a,http://pbs.twimg.com/profile_images/1306453787440103426/gbLyZDry.jpg,1427419896175022084,秋田の朝、きもちいいものあ,1,2021-08-17 08:59:58
21,133653163,✌︎でこちゃんまん✌︎,decochanman,http://pbs.twimg.com/profile_images/1288424725387960320/n-lNdMiO.jpg,1427419883067764747,"ほぼ完成！！！！！！
アイロンビーズハウス🏠
デザイン娘。わたしは難しい接着手伝ったくらい。あ、あとアイロンビーズの色探し手伝った。小三にしてはよくやった🤤 https://t.co/zmF1uTOv6w",18,2021-08-17 08:59:54
22,146638224,サガやん,sagayanow,http://pbs.twimg.com/profile_images/1240147173/4708502_986838597_80large.jpg,1427419881981440030,@Teadelicious_0 あ、3時34分でした🤣 https://t.co/xkOeO2pi74,1,2021-08-17 08:59:54
43,189295916,ハシム🐥,rwitter_com,http://pbs.twimg.com/profile_images/1387273698910957574/-WzvoQA2.jpg,1427419861995511810,SR課金のときに計算問題解かないとあかんようになるんか😬,0,2021-08-17 08:59:49
51,215041640,和泉速人,izumi_hayato,http://pbs.twimg.com/profile_images/925246083428630529/sI7F4oUk.jpg,1427419854198370331,おあよう,0,2021-08-17 08:59:48
42,231418860,乙,tikyuugaiseimei,http://pbs.twimg.com/profile_images/3465640030/2598f062521ae5592ef6a1be91267df3.jpeg,1427419863123849216,あちゃー,0,2021-08-17 08:59:50
61,241578278,しんたま@スプラおっさん勢,SHINTAman_No69,http://pbs.twimg.com/profile_images/1399041271348350988/z4BF8r5T.jpg,1427419848313761816,"@mi2kyuuu え??もう生えてますの??
え??どこにどこにー??(・´з`・)
あ、くみんちゃんおはっ✨👍",1,2021-08-17 08:59:46
19,250653890,HoA㌠@キュアほあさん,sss4052,http://pbs.twimg.com/profile_images/1371446197181849600/U3zeWbEn.jpg,1427419886251241483,@Pien0112 ほあようぅぅぅ✌(´&gt;ω&lt;｀)✌,0,2021-08-17 08:59:55
