,user_id,user_name,user_screen_name,user_profile_image_url,tweet_id,tweet_full_text,tweet_favorite_count,tweet_created_at
12,15621895,ギャランドゥ14R,kzzr1400,http://pbs.twimg.com/profile_images/1348217426274447364/PTtiRlQD.jpg,1428507009863667712,"ドローンも良いけど、先ずは治水工事と山間部でのソーラー禁止だべ。
林業に補助金だべなあ。 https://t.co/F8R1c3Qxkg",1,2021-08-20 08:59:46
68,51669855,ジンロウ,jinroh0821,http://pbs.twimg.com/profile_images/1416759340824875008/lhDMt7Cc.jpg,1428506760491323394,や、やべぇ…(； ･`д･´) https://t.co/xAqnqBYmEe,1,2021-08-20 08:58:46
97,102988315,mito＠基本ぼっち飲み,mitomito777,http://pbs.twimg.com/profile_images/1339205037017317376/aLAR8vlR.jpg,1428506584720625664,@damodamoko べちゃべちゃは敗北感(╥╯θ╰╥),1,2021-08-20 08:58:04
17,191026583,🍜tomo🍜,coutya_,http://pbs.twimg.com/profile_images/1237731318416343041/0myPVFMV.jpg,1428506996152573963,"もう
あぢー(;´Д`)やべえ",0,2021-08-20 08:59:42
44,279492366,練馬産。🌕,nerimasan,http://pbs.twimg.com/profile_images/1248799047382519809/mOVSwIB5.png,1428506879353753600,"🦐べっ、べつにあんたの為に来てやったんじゃないんだからねっ！

やばい、超嬉しい…！！🥺✨✨
#エビが出てくるかもしれないボタン
#みんなのボタンメーカー
 https://t.co/tcXvyLGHeo",3,2021-08-20 08:59:15
9,372917943,やっぱり金剛改二丙を…最高やな！,hideo1st,http://pbs.twimg.com/profile_images/448126002246340609/p7tLGHpM.png,1428507021540614145,【シャニマス】樋口円香というシャニPのことが嫌いなキャラ https://t.co/gC9gP7poQ0 GRADでいい相棒になったと思ったのに水着で変態性癖曝け出してくるやべーやつ,0,2021-08-20 08:59:48
5,460120120,ジキル🦁低浮上,666zikill,http://pbs.twimg.com/profile_images/1411677043587125252/Z7pvmHcK.jpg,1428507034618503174,@1059Sekigahara べじさんいてきます～っ！！✨💕✨,1,2021-08-20 08:59:52
52,461793419,しらゆき🍡,snow01n,http://pbs.twimg.com/profile_images/1425955982782337026/BGvr-WHJ.png,1428506853055471619,@cyoko_pan39 あべちゃんに聞いたかな？😂,1,2021-08-20 08:59:08
78,533534612,じゃっかぁ,jackar123,http://pbs.twimg.com/profile_images/799604661841891328/6360AmT4.jpg,1428506713393557513,朝からお客様との判定会議は胃が辛いぜべいべー,0,2021-08-20 08:58:35
23,608154552,忠義,ton10usv,http://abs.twimg.com/sticky/default_profile_images/default_profile.png,1428506968184872961,おしり虫べジータ／かじり,0,2021-08-20 08:59:36
