,user_id,user_name,user_screen_name,user_profile_image_url,tweet_id,tweet_full_text,tweet_favorite_count,tweet_created_at
87,39459941,とらたろう,ema_ono,http://pbs.twimg.com/profile_images/2161875341/twitter_128.jpg,1428868975039897604,2年前の今ごろCATVの作業員さんに何かしてもらったようだけど、何だったろう？ついろぐ見返しても身バレ恐れてか何も書いていない…。,0,2021-08-21 08:58:05
98,56505125,Chrome,googlechrome,http://pbs.twimg.com/profile_images/1037025533182193664/aCWlGSZF.jpg,1428868921776562176,@LOIDENT ろいさわ（本物）さん おはようございます。Google Chrome をご利用の際に何かお困りごとがありましたか？よろしければご案内できることがあるかお調べしますので、返信で詳しい状況をお聞かせください。また、こちらの Google Chrome ヘルプもご活用ください。https://t.co/X1w6zL3H8u,0,2021-08-21 08:57:52
39,80016759,アーク,dalkangel,http://pbs.twimg.com/profile_images/1129475888129556481/oHwsgBek.jpg,1428869248554725379,"あんだけ巨大なシステム、誰も把握できてないでしょ
【悲報】みすほのトラブル、原因不明　担当者が逃げ出しシステムがブラックボックス化で収拾つかず : ガハろぐNewsヽ(･ω･)/ｽﾞｺｰ https://t.co/Ynen4rdPVz",1,2021-08-21 08:59:10
97,94690309,ことちゃん＠あみうさぎ,kotoko_chan,http://pbs.twimg.com/profile_images/697853175898861568/0gz-6lNP.jpg,1428868923441639426,ろくまんえんと知って全国のオカンがアップを始める…。,0,2021-08-21 08:57:53
71,100653268,アラカンおふじ,ofujicyan,http://pbs.twimg.com/profile_images/1393190192903639047/sjEi-EbI.jpg,1428869091444486146,"@rorirorisan ろりんちゃん　おはよう😃

外出たら🌤お日様強いし😅💦

良き週末をね〜😊✨✨",0,2021-08-21 08:58:33
66,114449686,Junji Kondo,konxjun,http://pbs.twimg.com/profile_images/378800000566840614/1521bb0ec7dc541890bd915553fcf849.jpeg,1428869114865414147,今日はオンラインの移住体験ツアーです。豪雨もおさまって一安心。車班として香北をろいろいしてきます,2,2021-08-21 08:58:38
13,122059048,gonnta,k9696,http://pbs.twimg.com/profile_images/1812700042/9696___.jpg,1428869395128852482,ねこって思ってたより人懐っこい生き物なんだな／黒猫ろんと暮らしたら - レタスクラブ https://t.co/oiF8Mu51Cw,0,2021-08-21 08:59:45
3,141781349,oko,oko10,http://pbs.twimg.com/profile_images/1426695288169799684/IAnFNjN6.jpg,1428869422748356608,今回のステージでへリムちゃんの魅力に気づいた🥺EXOの前夜チーム頑張ってほしいけど、ばんたんのまいくどろっぷが本番すごそうや…😭,0,2021-08-21 08:59:52
70,163722378,まりおん,marion2009,http://pbs.twimg.com/profile_images/1377428969788567552/MBZh-ifj.jpg,1428869091981365251,@nachiru0204 (○˘▿˘)♫•*¨*•.¸¸♪(¦3[▓▓] ねぇ〜んねぇ〜ん♪こぉ〜ろぉ〜りぃ〜よぉ〜♪♪(*´○`)o¶~~♪おこぉ〜ろぉ〜りぃ〜よぉ〜♪♪(*´○`)o¶~~♪ぼうぅ〜やぁ〜はぁ〜よいこぉ〜だぁ〜♪ねんねぇ〜しぃ〜なぁ〜♪♪(*´○`)o¶~~♪,1,2021-08-21 08:58:33
90,176287329,準にゃんは正義@魔女見習いをさがして聖地巡礼の予定,junnyanlove,http://pbs.twimg.com/profile_images/1413897639809085444/M6bXRNFc.jpg,1428868950339637249,@mount___Fuji ？？？「りくろんも可愛いし！」,0,2021-08-21 08:57:59
86,234244754,MKBN,Cony_MKBN,http://pbs.twimg.com/profile_images/1297534500260388866/guAZZz9q.jpg,1428868984208719874,お゛れ゛も゛し゛ろ゛う゛け゛い゛た゛へ゛た゛い゛い゛い゛い゛い゛,1,2021-08-21 08:58:07
