,user_id,user_name,user_screen_name,user_profile_image_url,tweet_id,tweet_full_text,tweet_favorite_count,tweet_created_at
14,21726745,新井紀子/ Noriko Arai,noricoco,http://pbs.twimg.com/profile_images/378800000118161999/016d0cc6a4899b6555a4943de8b222f4.png,1426695127976734724,コロナ敗戦から考える「危機の政治」と「政治の危機」　：朝日新聞デジタル https://t.co/WOO7v89NvT,17,2021-08-15 08:59:59
93,67022909,佐村河内 攻 akibonn,akibonn,http://pbs.twimg.com/profile_images/1259469632/6a00d83451c29169e200e54f6c7b648833-800wi.gif,1426695125539852291,"@digitalwac 怪談ですが、主題は人間の「業(ごう)」です。
『三遊亭圓生（六代目）真景累ヶ淵【完全版】』
全編08時間40分＿冗談抜きで面白いです。
寄席でも、何回かに分けて上演したそうです。
https://t.co/v7ravWnUMo",1,2021-08-15 08:59:59
98,79074706,ぴ,Blackymarine,http://pbs.twimg.com/profile_images/1390935573091606528/IF6lLN0E.png,1426695125363695621,@sawai0381 だよね、よく見る「心肺停止」という表現の意味。,0,2021-08-15 08:59:59
63,105149336,名古屋の枝豆くん、まさみん・臼井正己@はぐれものの転職王,usuimasami,http://pbs.twimg.com/profile_images/1423871317552418818/8zAVmgY7.jpg,1426695126605205506,@risei33 なか卯の卵が美味しいです。,1,2021-08-15 08:59:59
4,106660399,"kentaro nagata(ngtkntr,elect-low,Team Frasco)",ngtkntr,http://pbs.twimg.com/profile_images/1095495378235879424/M8ScimMB.png,1426695128375197697,"先日リリースのsomen,break、apple musicの公式プレイリストに取り上げていただきました！ https://t.co/qdT9gUx4Hu",11,2021-08-15 08:59:59
21,107979948,龍生はPicに生きる,tatsuki_ouryu,http://pbs.twimg.com/profile_images/1423692768073830402/Baihukbs.jpg,1426695127754371072,新発売のどらもっち気になります♪ 下のボタンから #どらもっちバニラバニラ を投稿すると無料券が抽選で届きます！ #ローソン @akiko_lawson https://t.co/ZEXALP41pq,0,2021-08-15 08:59:59
56,123255031,とみぃ🗼,tonbo_a,http://pbs.twimg.com/profile_images/1189793694033035274/rlmUsiLJ.png,1426695126831702020,べしょべしょに泣いた　勇作さん、マジで生きて帰る気なかったんだろうなって思うとそれだけでべしょべしょなんだけど、それによって救われた兵士がいっぱいいたんだろうなってのが、なんていうか言いようのない虚しさみたいな、戦争の惨さと歪みを思ってべしょべしょになる,1,2021-08-15 08:59:59
64,125648730,小人堂,cobitodo,http://pbs.twimg.com/profile_images/527721377386598400/aMn9Pio9.jpeg,1426695126580006913,"昨日も頭が重くて、読書と野菜の処理を諦めて、早々に寝ました。
今日は昼迄に起きれば問題ないのだけれど7時には目が覚めました。で、2時間もゴロゴロしています。至福。
駄菓子菓子、もとい、だがしかし、そろそろ起きて、今日こそは野菜の処理をしなくては。",0,2021-08-15 08:59:59
48,128903943,むぅむーみん,muu20,http://pbs.twimg.com/profile_images/1371161423938658307/ZR0b_hBu.jpg,1426695127125282826,新発売のどらもっち気になります♪ 下のボタンから #どらもっちバニラバニラ を投稿すると無料券が抽選で届きます！ #ローソン @akiko_lawson https://t.co/Z2Tyd9raEh,0,2021-08-15 08:59:59
32,134148972,aya＠よつば,ayayotsuba,http://pbs.twimg.com/profile_images/1360623460/201105191658000.jpg,1426695127469215746,@s789012_ それ一番傷つくやつ…時間かかったのは（いや、時間かけたのは）自分の意思だけど、労って欲しいわけじゃないかもしれないけど、せめて同調して欲しい。わかるわー！！！！！あるある。,1,2021-08-15 08:59:59
84,136066140,笑い男,lol_magiarecord,http://pbs.twimg.com/profile_images/1316671170616291328/svlctm0N.jpg,1426695125971869699,"@tagosakuga 田ゴ作さん、おはようございます😆
BIGどいたまです〜😄最近出番のないFタルトに頑張ってもらいます🤣🤣🤣",1,2021-08-15 08:59:59
69,260189678,ユメ（mori）,yumeshishi,http://pbs.twimg.com/profile_images/1207681811284996097/lII2Wv4C.png,1426695126466785280,今日の脚本功なのかよと思ったけどそう言えばプリアラ映画みたいなのもお出ししてくる男だったな村山功…,0,2021-08-15 08:59:59
78,269212754,Ryosuke Sasaki,orange_loco,http://pbs.twimg.com/profile_images/378800000229823338/350d4a3134f7b6fe20bc82eea9dbe076.jpeg,1426695126345080833,新発売のどらもっち気になります♪ 下のボタンから #どらもっちバニラバニラ を投稿すると無料券が抽選で届きます！ #ローソン @akiko_lawson https://t.co/2GjG4WdiBd,0,2021-08-15 08:59:59
90,271222220,neko2,neko123desu,http://pbs.twimg.com/profile_images/2974261181/a85e2e14d238bf371e5846d6add0ac92.jpeg,1426695125636317186,"ウレタンマスクにマウスガード、、これだけ言われているのに減らない、特にウレタンマスクは自分の飛沫をばらまきまくるという教育をもっとやらないとね。
それと、ワクチン2回受けても外食、飲み会、カラオケなどは全部NG　もっとほんとのことを言わないと収まらないね。営業できない？だから補償！",0,2021-08-15 08:59:59
77,341337747,左近@Webライター,dakengou_spidy,http://pbs.twimg.com/profile_images/1411228286848405509/rLWIojAw.jpg,1426695126345129984,"@hareharri881 アローラ🦉

このご時世なので打ち合わせも色々大変そう！
その大変な部分含めて奥様との思い出になりますように😌

今日もよろしくお願いします💪",1,2021-08-15 08:59:59
89,393574698,Lamp of Hope,LampofHope,http://pbs.twimg.com/profile_images/3155657898/7011541b7de9867813ad854e977836c3.jpeg,1426695125707608064,"@as_rabbit キャンプファイヤーのミニチュア版でどうでしょう
（周りも皆知らなければそういうもんなのか、と思ってくれそう笑）",2,2021-08-15 08:59:59
15,410043616,ハセ,hirokocandy,http://pbs.twimg.com/profile_images/1697978998/image.jpg,1426695127926411268,@ASKA_Pop_ASKA 人口が増えすぎたための調整なのでしょうか？　人間とはなんで愚かなんでしょう、と思ってしまう。,0,2021-08-15 08:59:59
27,515109989,𝕙𝕒𝕣𝕦𝕜𝕒,HA41231,http://pbs.twimg.com/profile_images/1393914334825181185/77E6DDqp.jpg,1426695127565705221,新発売のどらもっち気になります♪ 下のボタンから #どらもっちバニラバニラ を投稿すると無料券が抽選で届きます！ #ローソン @akiko_lawson https://t.co/k5JHuTmiKo,0,2021-08-15 08:59:59
91,537863778,みゅうはる,myu_masha_6626,http://pbs.twimg.com/profile_images/1426938573186494465/s5_PZvEX.jpg,1426695125615276032,"☔やばい…
窓ガラスに凄い音で叩きつけてる。
まるで台風のよう。

雨音で目が覚める。",0,2021-08-15 08:59:59
96,547501071,/ /,nonorili,http://pbs.twimg.com/profile_images/1152592279107825673/wTb3I8qB.jpg,1426695125502099460,謎の村雨城やってたのか見たかったな,0,2021-08-15 08:59:59
52,570787992,【過労士】よわすぎねん,yowa_0214,http://pbs.twimg.com/profile_images/1158173778808958976/vUkAT9u6.jpg,1426695126965841923,"生活保護とかの弱者救済制度はいつ何時、自分自身がお世話になるかもしれないって考えると、某炎上の人みたいな発言は出ないと思うんよね
セーフティネットは万が一の時に生命を助けるために存在するから無意味なものはない

しかし不正受給は遠慮なく叩きまくれ",0,2021-08-15 08:59:59
28,619100274,ひがしゆうや｜東大卒の無駄づかい,higashi_manzai,http://pbs.twimg.com/profile_images/1428261886626127878/5L66d6UD.jpg,1426695127553118211,"【⑱続・ひが史】
昨年の企画からの続編です！
60分で17才からの甘酸っぱい青春時代〜33年間の人生を振り返れるのか？！
こんな話を誰が聞くのか？！
安心してください、最短距離でひがしマニアになれます！（いかがわしいビジネス営業）

https://t.co/UcwZPeAfnP

#24時間ラジオ2021 #24時間ラジオ https://t.co/juO5a5NYkH",14,2021-08-15 08:59:59
2,1127956340,ブライ,burai3939,http://pbs.twimg.com/profile_images/1410428434602360835/XFWh9sVO.jpg,1426695128450670592,こんにちは！フィギュアストーリーでAmazonギフト券や抽選報酬など、たくさんの素敵な特典を用意しました。 私と一緒に冒険してみませんか？ https://t.co/F96zLYz4zn,1,2021-08-15 08:59:59
46,1386451123,日比野 文,Hibino_Humi,http://pbs.twimg.com/profile_images/3584846484/3fb8adddc2228567f0f479fd88135d0d.jpeg,1426695127209189381,あいたた、あいたたたた！シャルナちゃん！お地蔵さんにお供えしてあった大福を食べたら、お腹が！！文のお腹が急に痛くなってきましたよー！！,0,2021-08-15 08:59:59
39,1389205802,青汁　青汁効果　青汁市場,aojiru_iciba,http://pbs.twimg.com/profile_images/3590631190/621537052dfa53d5fbc9f11d16f45de2.jpeg,1426695127347519491,"まったく食事をとらないわけではなく、毎日２食分は通常どうりに摂取し、夕食などの１食分を替わりとするケースが多いです。

https://t.co/YhNrMO51u4",0,2021-08-15 08:59:59
61,1974920064,ウモ【埋もれた古城】,umoretakojo,http://pbs.twimg.com/profile_images/378800000645857315/fbc9d01ba0ab1f258ecaf59d7b046b25.png,1426695126634532868,終戦の日。これまた読み応えのある記事だった。インパール撤退。決して昔の話じゃなく我々の祖父世代。そして日本人の気質にまだインパールが残ってる。我々の現代、我々の人生は遺体が累々と連なる白骨街道の続き、その先にある。過去の過ちを忘れたり分断してはいけない。 https://t.co/2PSpARrtXB,4,2021-08-15 08:59:59
40,2240196601,タマゴ学ぶくん,pillasmossnd,http://pbs.twimg.com/profile_images/1410221363378286596/jB-7L-vt.jpg,1426695127309844483,「くしゃみ！」って言いながらくしゃみしたの人生で初めてかもしれない,4,2021-08-15 08:59:59
25,2360584364,nazu,nazu_motoswift,http://pbs.twimg.com/profile_images/1400413789963505666/3ojDCsUK.jpg,1426695127624404994,"R33はもちろんスカイライン乗りで気の合う人がもっと増えないかなーって最近思う🥺

仲良くしてくださった方がわりと遠くにお住いなのがなぁー笑 https://t.co/S22gycxmpZ",130,2021-08-15 08:59:59
36,2389073342,カウンターディスカウントジャパン,counter_dj,http://pbs.twimg.com/profile_images/1348189859769315330/Q0VQAuWL.jpg,1426695127397900289,"サンデーモーニング、番組冒頭で謝罪なし  “張本氏の件”をスルーで放送開始してしまう… https://t.co/o3mbIz6eY8 @sharenewsjapan1より
【拡散】
#サンデーモーニング",3,2021-08-15 08:59:59
22,2471649596,キュアこちや,cure_kochiya,http://pbs.twimg.com/profile_images/1234499990036205568/XJstvJSb.jpg,1426695127704039425,"サラッと流してたけど、今日は久々の芸能人ゲスト回だったね。
#precure",0,2021-08-15 08:59:59
23,2611469449,オーガ,xxogre,http://pbs.twimg.com/profile_images/564788784001064961/9cdll6e1.jpeg,1426695127695724555,"推しキャラ(2)【定期ツイート】
ガルパン:冷泉麻子
シンフォギア:暁 切歌
ラブライブ！:矢澤 にこ
棺のチャイカ:フレドリカ 
ファイブレイン:メランコリィ
幸腹グラフィティ:森野 きりん
城下町のダンデライオン:櫻田 光
きんモザ:九条 カレン
ごちうさ:香風智乃",0,2021-08-15 08:59:59
